date;bugs;reliability_rating;reliability_remediation_effort;security_rating;security_remediation_effort;vulnerabilities;code_smells;development_cost;effort_to_reach_maintainability_rating_a;sqale_debt_ratio;sqale_index;sqale_rating;normalized_td;coverage;line_coverage;lines_to_cover;uncovered_lines;duplicated_blocks;duplicated_files;duplicated_lines;duplicated_lines_density;classes;comment_lines;comment_lines_density;directories;files;functions;lines;ncloc;ncloc_language_distribution;statements;class_complexity;cognitive_complexity;complexity;file_complexity;file_complexity_distribution;function_complexity;function_complexity_distribution;blocker_violations;confirmed_issues;critical_violations;false_positive_issues;info_violations;major_violations;minor_violations;open_issues;reopened_issues;violations;wont_fix_issues
4/11/2016;669;5;7163;5;7600;616;18863;7445490;0;2.9;214557;1;0.864511268;0;0;165696;165696;1440;290;22621;6.6;1827;27357;9.9;240;1124;15103;341239;248183;"java=248178;js=5";148887;26.1;68752;47607;42.4;"0=226;5=213;10=193;20=116;30=176;60=66;90=134";3.1;"1=8114;2=3031;4=1333;6=596;8=335;10=201;12=688";86;0;8276;0;443;4904;6439;20148;0;20148;0
11/11/2016;669;5;7163;5;7600;616;18860;7445070;0;2.9;214519;1;0.864406916;0;0;165682;165682;1440;290;22621;6.6;1827;27357;9.9;240;1124;15103;341225;248169;"java=248164;js=5";148880;26.1;68745;47607;42.4;"0=226;5=213;10=193;20=116;30=176;60=66;90=134";3.1;"1=8114;2=3031;4=1333;6=596;8=335;10=201;12=688";86;0;8273;0;443;4904;6439;20145;0;20145;0
18/11/2016;669;5;7163;5;7600;616;18859;7445160;0;2.9;214518;1;0.864392438;0;0;165684;165684;1440;290;22621;6.6;1827;27355;9.9;240;1124;15103;341224;248172;"java=248167;js=5";148882;26.1;68746;47608;42.4;"0=226;5=213;10=193;20=116;30=176;60=66;90=134";3.1;"1=8114;2=3031;4=1333;6=596;8=335;10=201;12=688";86;0;8273;0;443;4903;6439;20144;0;20144;0
25/11/2016;683;5;7298;5;7735;625;19090;7550250;0;2.9;217068;1;0.862493295;0;0;167858;167858;1467;301;23062;6.6;1845;28174;10.1;246;1142;15357;347109;251675;"java=251670;js=5";150818;26.2;69646;48311;42.3;"0=231;5=214;10=198;20=117;30=177;60=68;90=137";3.1;"1=8204;2=3084;4=1358;6=606;8=346;10=204;12=697";88;0;8353;0;443;4993;6521;20398;0;20398;0
2/12/2016;683;5;7298;5;7735;625;19078;7547790;0;2.9;216926;1;0.862209998;0;0;167806;167806;1467;301;23062;6.6;1845;28195;10.1;246;1141;15358;347057;251593;"java=251588;js=5";150777;26.2;69579;48306;42.3;"0=230;5=215;10=197;20=117;30=177;60=68;90=137";3.1;"1=8201;2=3088;4=1360;6=605;8=346;10=205;12=695";88;0;8349;0;442;4991;6516;20386;0;20386;0
9/12/2016;681;5;7281;5;7735;625;19074;7546470;0;2.9;216890;1;0.862217699;0;0;167787;167787;1467;301;23062;6.6;1844;28192;10.1;246;1139;15353;346983;251549;"java=251544;js=5";150759;26.2;69554;48294;42.4;"0=229;5=215;10=196;20=118;30=175;60=69;90=137";3.1;"1=8199;2=3083;4=1362;6=605;8=348;10=203;12=695";87;0;8346;0;443;4990;6514;20380;0;20380;0
16/12/2016;681;5;7281;5;7735;625;19076;7546410;0;2.9;216894;1;0.862240456;0;0;167787;167787;1467;301;23062;6.6;1844;28241;10.1;246;1139;15353;347043;251547;"java=251542;js=5";150759;26.2;69554;48294;42.4;"0=229;5=215;10=196;20=118;30=175;60=69;90=137";3.1;"1=8199;2=3083;4=1362;6=605;8=348;10=203;12=695";87;0;8346;0;443;4990;6516;20382;0;20382;0
23/12/2016;681;5;7281;5;7735;625;19071;7544880;0;2.9;216862;1;0.862288068;0;0;167748;167748;1467;301;23062;6.6;1845;28251;10.1;246;1140;15350;347029;251496;"java=251491;js=5";150717;26.2;69528;48274;42.3;"0=229;5=215;10=197;20=119;30=174;60=69;90=137";3.1;"1=8204;2=3078;4=1360;6=604;8=348;10=203;12=695";87;0;8346;0;443;4988;6513;20377;0;20377;0
30/12/2016;681;5;7281;5;7735;625;19071;7545090;0;2.9;216867;1;0.862283949;0;0;167752;167752;1467;301;23062;6.6;1845;28256;10.1;246;1140;15351;347042;251503;"java=251498;js=5";150720;26.2;69529;48275;42.3;"0=229;5=215;10=197;20=119;30=174;60=69;90=137";3.1;"1=8205;2=3078;4=1360;6=605;8=347;10=203;12=695";87;0;8346;0;443;4988;6513;20377;0;20377;0
6/1/2017;681;5;7281;5;7735;625;19122;7547670;0;2.9;217317;1;0.863777828;0;0;167809;167809;1467;301;23062;6.6;1845;28283;10.1;246;1140;15356;347163;251589;"java=251584;js=5";150759;26.2;69544;48286;42.4;"0=229;5=215;10=197;20=119;30=174;60=69;90=137";3.1;"1=8210;2=3077;4=1361;6=605;8=346;10=204;12=695";87;0;8353;0;453;5006;6529;20428;0;20428;0
13/1/2017;681;5;7281;5;7735;625;19107;7547460;0;2.9;217151;1;0.863142037;0;0;167806;167806;1465;301;23044;6.6;1845;28283;10.1;246;1140;15356;347155;251582;"java=251577;js=5";150755;26.2;69544;48286;42.4;"0=229;5=215;10=197;20=119;30=174;60=69;90=137";3.1;"1=8210;2=3077;4=1361;6=605;8=346;10=204;12=695";87;0;8352;0;453;4999;6522;20413;0;20413;0
20/1/2017;681;5;7281;5;7735;625;19107;7547490;0;2.9;217151;1;0.863138606;0;0;167807;167807;1465;301;23044;6.6;1845;28283;10.1;246;1140;15356;347156;251583;"java=251578;js=5";150756;26.2;69544;48286;42.4;"0=229;5=215;10=197;20=119;30=174;60=69;90=137";3.1;"1=8210;2=3077;4=1361;6=605;8=346;10=204;12=695";87;0;8352;0;453;4999;6522;20413;0;20413;0
27/1/2017;684;5;7295;5;8035;655;19280;7590540;0;2.9;218537;1;0.863721158;0;0;168851;168851;1463;300;23030;6.6;1849;28434;10.1;247;1144;15387;348979;253018;"java=253013;js=5";151657;26.2;69741;48419;42.3;"0=229;5=214;10=200;20=121;30=173;60=70;90=137";3.1;"1=8217;2=3088;4=1366;6=606;8=348;10=209;12=695";87;0;8421;0;459;5035;6617;20619;0;20619;0
3/2/2017;684;5;7295;5;8035;655;19282;7590630;0;2.9;218545;1;0.863742535;0;0;168854;168854;1463;300;23030;6.6;1849;28434;10.1;247;1144;15387;348980;253021;"java=253016;js=5";151660;26.2;69742;48420;42.3;"0=229;5=214;10=200;20=121;30=173;60=70;90=137";3.1;"1=8217;2=3088;4=1366;6=606;8=348;10=209;12=695";87;0;8422;0;459;5035;6618;20621;0;20621;0
10/2/2017;643;5;6866;5;7300;596;17859;7132290;0;2.9;204243;1;0.85909154;0;0;158803;158803;1357;268;21160;6.5;1766;26506;10;207;1062;14664;327168;237743;"java=237738;js=5";142695;26.1;65951;46017;43.3;"0=214;5=202;10=176;20=114;30=163;60=62;90=131";3.1;"1=7887;2=2948;4=1293;6=572;8=316;10=187;12=665";84;0;7842;0;433;4619;6120;19098;0;19098;0
17/2/2017;643;5;6866;5;7300;596;17853;7127340;0;2.9;204213;1;0.859561912;0;0;158718;158718;1357;268;21160;6.5;1762;26498;10;207;1061;14650;326952;237578;"java=237573;js=5";142621;26.1;65924;45990;43.3;"0=214;5=202;10=176;20=113;30=163;60=62;90=131";3.1;"1=7880;2=2943;4=1291;6=572;8=316;10=187;12=665";84;0;7839;0;433;4618;6118;19092;0;19092;0
24/2/2017;643;5;6866;5;7300;596;17853;7127460;0;2.9;204213;1;0.85954744;0;0;158721;158721;1357;268;21160;6.5;1762;26498;10;207;1061;14650;326956;237582;"java=237577;js=5";142624;26.1;65925;45991;43.3;"0=214;5=202;10=176;20=113;30=163;60=62;90=131";3.1;"1=7880;2=2943;4=1290;6=573;8=316;10=187;12=665";84;0;7839;0;433;4618;6118;19092;0;19092;0
3/3/2017;643;5;6866;5;7300;596;17852;7126410;0;2.9;204208;1;0.859653037;0;0;158695;158695;1357;268;21160;6.5;1762;26495;10;207;1061;14649;326905;237547;"java=237542;js=5";142598;26.1;65920;45985;43.3;"0=214;5=202;10=176;20=113;30=163;60=62;90=131";3.1;"1=7880;2=2943;4=1290;6=573;8=315;10=187;12=665";84;0;7839;0;432;4618;6118;19091;0;19091;0
10/3/2017;643;5;6866;5;7300;596;17854;7126230;0;2.9;204238;1;0.859801045;0;0;158687;158687;1357;268;21160;6.5;1762;26499;10;207;1061;14650;326902;237541;"java=237536;js=5";142598;26.1;65921;45980;43.3;"0=214;5=202;10=176;20=113;30=163;60=62;90=131";3.1;"1=7880;2=2946;4=1291;6=570;8=315;10=187;12=665";84;0;7841;0;432;4618;6118;19093;0;19093;0
17/3/2017;643;5;6866;5;7300;596;17855;7126590;0;2.9;204243;1;0.85977866;0;0;158699;158699;1357;268;21160;6.5;1762;26500;10;207;1061;14650;326915;237553;"java=237548;js=5";142610;26.1;65927;45982;43.3;"0=214;5=202;10=176;20=113;30=163;60=62;90=131";3.1;"1=7880;2=2946;4=1291;6=570;8=315;10=187;12=665";84;0;7843;0;432;4618;6117;19094;0;19094;0
24/3/2017;643;5;6866;5;7300;596;17830;7124130;0;2.9;204115;1;0.859536533;0;0;158660;158660;1357;268;21131;6.5;1762;26499;10;207;1061;14650;326816;237471;"java=237466;js=5";142566;26.1;65863;45974;43.3;"0=214;5=202;10=176;20=113;30=163;60=62;90=131";3.1;"1=7881;2=2949;4=1288;6=569;8=315;10=188;12=664";84;0;7840;0;432;4600;6113;19069;0;19069;0
31/3/2017;643;5;6866;5;7300;596;17819;7123170;0;2.9;203862;1;0.858586837;0;0;158633;158633;1352;268;21074;6.4;1763;26504;10;207;1062;14652;326813;237439;"java=237434;js=5";142538;26.1;65829;45973;43.3;"0=215;5=202;10=176;20=113;30=163;60=62;90=131";3.1;"1=7881;2=2951;4=1288;6=569;8=316;10=189;12=662";84;0;7840;0;432;4589;6113;19058;0;19058;0
7/4/2017;642;5;6851;5;7300;596;17817;7123020;0;2.9;203850;1;0.858554377;0;0;158629;158629;1352;268;21074;6.4;1763;26504;10;207;1062;14652;326808;237434;"java=237429;js=5";142534;26.1;65825;45972;43.3;"0=215;5=202;10=176;20=113;30=163;60=62;90=131";3.1;"1=7881;2=2951;4=1288;6=569;8=316;10=189;12=662";84;0;7840;0;432;4588;6111;19055;0;19055;0
14/4/2017;642;5;6851;5;7300;596;17817;7122990;0;2.9;203848;1;0.85854957;0;0;158628;158628;1352;268;21074;6.4;1763;26505;10;207;1062;14652;326808;237433;"java=237428;js=5";142533;26.1;65825;45972;43.3;"0=215;5=202;10=176;20=113;30=163;60=62;90=131";3.1;"1=7881;2=2951;4=1288;6=569;8=316;10=189;12=662";84;0;7840;0;432;4588;6111;19055;0;19055;0
21/4/2017;642;5;6851;5;7300;596;17817;7122990;0;2.9;203848;1;0.85854957;0;0;158628;158628;1352;268;21074;6.4;1763;26505;10;207;1062;14652;326808;237433;"java=237428;js=5";142533;26.1;65825;45972;43.3;"0=215;5=202;10=176;20=113;30=163;60=62;90=131";3.1;"1=7881;2=2951;4=1288;6=569;8=316;10=189;12=662";84;0;7840;0;432;4588;6111;19055;0;19055;0
28/4/2017;642;5;6851;5;7300;596;17812;7122510;0;2.9;203807;1;0.858434737;0;0;158615;158615;1352;268;21074;6.4;1763;26501;10;207;1062;14652;326792;237417;"java=237412;js=5";142530;26.1;65822;45970;43.3;"0=215;5=202;10=176;20=113;30=163;60=62;90=131";3.1;"1=7881;2=2951;4=1288;6=569;8=317;10=188;12=662";84;0;7837;0;432;4586;6111;19050;0;19050;0
5/5/2017;642;5;6851;5;7300;596;17819;7124610;0;2.9;203869;1;0.858442778;0;0;158652;158652;1352;268;21074;6.4;1764;26521;10;207;1063;14653;326903;237487;"java=237482;js=5";142563;26.1;65840;45978;43.3;"0=215;5=203;10=176;20=113;30=163;60=62;90=131";3.1;"1=7881;2=2951;4=1288;6=569;8=318;10=188;12=662";84;0;7841;0;433;4588;6111;19057;0;19057;0
12/5/2017;642;5;6851;5;7300;596;17818;7124790;0;2.9;203883;1;0.858480039;0;0;158653;158653;1352;268;21064;6.4;1764;26523;10;207;1063;14653;326909;237493;"java=237488;js=5";142568;26.1;65848;45984;43.3;"0=215;5=203;10=176;20=113;30=163;60=62;90=131";3.1;"1=7881;2=2951;4=1288;6=569;8=318;10=188;12=662";84;0;7842;0;433;4588;6109;19056;0;19056;0
19/5/2017;642;5;6851;5;7300;596;17814;7124880;0;2.9;203811;1;0.858166032;0;0;158653;158653;1352;268;21064;6.4;1764;26523;10;207;1063;14653;326911;237496;"java=237491;js=5";142568;26.1;65848;45984;43.3;"0=215;5=203;10=176;20=113;30=163;60=62;90=131";3.1;"1=7881;2=2951;4=1288;6=569;8=318;10=188;12=662";84;0;7838;0;433;4588;6109;19052;0;19052;0
26/5/2017;641;5;6846;5;7300;596;17814;7124880;0;2.9;203811;1;0.858166032;0;0;158653;158653;1352;268;21064;6.4;1764;26523;10;207;1063;14653;326911;237496;"java=237491;js=5";142568;26.1;65848;45984;43.3;"0=215;5=203;10=176;20=113;30=163;60=62;90=131";3.1;"1=7881;2=2951;4=1288;6=569;8=318;10=188;12=662";84;0;7838;0;433;4588;6108;19051;0;19051;0
2/6/2017;640;5;6836;5;7260;592;17814;7122090;0;2.9;203829;1;0.85857803;0;0;158617;158617;1349;268;21043;6.4;1764;26521;10;207;1063;14651;326799;237403;"java=237398;js=5";142498;26.1;65818;45973;43.2;"0=215;5=203;10=176;20=113;30=163;60=62;90=131";3.1;"1=7882;2=2948;4=1288;6=569;8=319;10=187;12=662";84;0;7836;0;433;4588;6105;19046;0;19046;0
9/6/2017;639;5;6831;5;7260;592;17811;7120530;0;2.9;203711;1;0.858268977;0;0;158591;158591;1342;267;21006;6.4;1764;26521;10.1;207;1063;14651;326739;237351;"java=237346;js=5";142453;26.1;65802;45970;43.2;"0=215;5=203;10=176;20=113;30=163;60=62;90=131";3.1;"1=7881;2=2949;4=1288;6=570;8=318;10=187;12=662";83;0;7836;0;433;4585;6105;19042;0;19042;0
16/6/2017;638;5;6801;5;7260;592;17817;7119930;0;2.9;203865;1;0.858990187;0;0;158590;158590;1344;267;20998;6.4;1764;26531;10.1;207;1063;14651;326737;237331;"java=237326;js=5";142437;26.1;65797;45966;43.2;"0=215;5=203;10=176;20=113;30=163;60=62;90=131";3.1;"1=7882;2=2948;4=1288;6=570;8=318;10=187;12=662";83;0;7835;0;433;4591;6105;19047;0;19047;0
23/6/2017;638;5;6801;5;7260;592;17806;7118970;0;2.9;203792;1;0.858798394;0;0;158544;158544;1344;267;20998;6.4;1764;26450;10;207;1063;14664;326628;237299;"java=237294;js=5";142410;26.1;65768;45974;43.2;"0=215;5=203;10=176;20=113;30=163;60=62;90=131";3.1;"1=7886;2=2959;4=1290;6=569;8=317;10=186;12=661";83;0;7832;0;433;4583;6105;19036;0;19036;0
30/6/2017;638;5;6801;5;7260;592;17788;7115400;0;2.9;203705;1;0.858862467;0;0;158455;158455;1344;267;20998;6.4;1764;26418;10;207;1063;14646;326423;237180;"java=237175;js=5";142328;26;65769;45952;43.2;"0=215;5=203;10=176;20=113;30=163;60=62;90=131";3.1;"1=7867;2=2961;4=1290;6=568;8=317;10=186;12=661";83;0;7832;0;433;4576;6094;19018;0;19018;0
7/7/2017;638;5;6796;5;7140;584;17788;7115250;0;2.9;203695;1;0.85883841;0;0;158448;158448;1347;267;20970;6.4;1764;26422;10;207;1063;14646;326429;237175;"java=237170;js=5";142321;26;65758;45946;43.2;"0=215;5=203;10=176;20=113;30=163;60=62;90=131";3.1;"1=7867;2=2961;4=1290;6=569;8=317;10=186;12=660";83;0;7834;0;433;4576;6084;19010;0;19010;0
14/7/2017;633;5;6746;5;7140;584;17718;7114350;0;2.9;203441;1;0.857875983;0;0;158449;158449;1347;267;20970;6.4;1764;26422;10;207;1063;14646;326399;237145;"java=237140;js=5";142322;26;65761;45949;43.2;"0=215;5=203;10=176;20=113;30=163;60=62;90=131";3.1;"1=7867;2=2961;4=1290;6=569;8=316;10=187;12=660";83;0;7799;0;433;4536;6084;18935;0;18935;0
21/7/2017;632;5;6736;5;7140;584;17705;7116630;0;2.9;203452;1;0.85764751;0;0;158498;158498;1349;268;20989;6.4;1764;26428;10;207;1063;14648;326486;237221;"java=237216;js=5";142370;26.1;65804;45967;43.2;"0=215;5=203;10=176;20=113;30=163;60=62;90=131";3.1;"1=7868;2=2961;4=1291;6=568;8=317;10=187;12=660";83;0;7801;0;437;4525;6075;18921;0;18921;0
28/7/2017;632;5;6736;5;7140;584;17705;7116690;0;2.9;203455;1;0.857652926;0;0;158500;158500;1349;268;20989;6.4;1764;26429;10;207;1063;14648;326489;237223;"java=237218;js=5";142372;26.1;65807;45970;43.2;"0=215;5=203;10=176;20=113;30=163;60=62;90=131";3.1;"1=7868;2=2961;4=1291;6=568;8=317;10=187;12=660";83;0;7801;0;437;4525;6075;18921;0;18921;0
4/8/2017;632;5;6736;5;7140;584;17705;7116690;0;2.9;203448;1;0.857623418;0;0;158500;158500;1349;268;20989;6.4;1764;26429;10;207;1063;14648;326489;237223;"java=237218;js=5";142372;26.1;65800;45962;43.2;"0=215;5=203;10=176;20=113;30=163;60=62;90=131";3.1;"1=7868;2=2961;4=1291;6=568;8=317;10=187;12=660";83;0;7801;0;437;4525;6075;18921;0;18921;0
11/8/2017;627;5;6681;5;7170;587;17666;7116930;0;2.9;203242;1;0.856726145;0;0;158491;158491;1343;269;20978;6.4;1765;26520;10.1;207;1064;14666;326694;237231;"java=237226;js=5";142359;26;65737;45973;43.2;"0=215;5=203;10=177;20=113;30=163;60=62;90=131";3.1;"1=7884;2=2964;4=1292;6=566;8=317;10=187;12=660";83;0;7800;0;434;4512;6051;18880;0;18880;0
18/8/2017;622;5;6606;5;7140;585;17634;7118640;0;2.9;203046;1;0.855694346;0;0;158504;158504;1332;269;20921;6.4;1765;26535;10.1;207;1064;14670;326802;237288;"java=237283;js=5";142385;26.1;65716;45983;43.2;"0=215;5=203;10=177;20=113;30=163;60=62;90=131";3.1;"1=7890;2=2959;4=1294;6=568;8=318;10=185;12=660";83;0;7798;0;434;4503;6023;18841;0;18841;0
25/8/2017;625;5;6646;5;7130;584;17664;7136730;0;2.8;203091;1;0.853714516;0;0;158781;158781;1336;269;20929;6.4;1768;26589;10.1;207;1066;14761;327641;237891;"java=237886;js=5";142654;26.1;65597;46086;43.2;"0=215;5=203;10=178;20=113;30=163;60=61;90=133";3.1;"1=7933;2=2989;4=1308;6=575;8=317;10=184;12=658";84;0;7810;0;431;4510;6038;18873;0;18873;0
1/9/2017;625;5;6646;5;7130;584;17663;7137210;0;2.8;203092;1;0.853661305;0;0;158793;158793;1336;269;20929;6.4;1768;26589;10.1;207;1066;14762;327657;237907;"java=237902;js=5";142667;26.1;65601;46088;43.2;"0=215;5=203;10=178;20=113;30=163;60=61;90=133";3.1;"1=7934;2=2989;4=1308;6=575;8=317;10=184;12=658";84;0;7810;0;431;4508;6039;18872;0;18872;0
8/9/2017;625;5;6646;5;7130;584;17662;7137300;0;2.8;203087;1;0.853629524;0;0;158796;158796;1336;269;20929;6.4;1768;26589;10.1;207;1066;14762;327660;237910;"java=237905;js=5";142669;26.1;65601;46088;43.2;"0=215;5=203;10=178;20=113;30=163;60=61;90=133";3.1;"1=7934;2=2989;4=1308;6=575;8=317;10=184;12=658";84;0;7810;0;431;4507;6039;18871;0;18871;0
15/9/2017;625;5;6646;5;7130;584;17664;7137270;0;2.8;203091;1;0.853649925;0;0;158795;158795;1336;269;20929;6.4;1768;26589;10.1;207;1066;14762;327659;237909;"java=237904;js=5";142668;26.1;65601;46088;43.2;"0=215;5=203;10=178;20=113;30=163;60=61;90=133";3.1;"1=7934;2=2989;4=1308;6=575;8=317;10=184;12=658";84;0;7810;0;431;4507;6041;18873;0;18873;0
22/9/2017;625;5;6646;5;7130;584;17668;7138740;0;2.8;203115;1;0.853575001;0;0;158838;158838;1336;269;20929;6.4;1768;26602;10.1;207;1066;14764;327728;237958;"java=237953;js=5";142671;26.1;65602;46091;43.2;"0=215;5=203;10=178;20=112;30=164;60=61;90=133";3.1;"1=7935;2=2990;4=1308;6=575;8=317;10=184;12=658";84;0;7813;0;431;4507;6042;18877;0;18877;0
29/9/2017;624;5;6626;5;7090;576;17667;7138950;0;2.8;203065;1;0.853339777;0;0;158845;158845;1336;269;20929;6.4;1768;26604;10.1;207;1066;14764;327739;237965;"java=237960;js=5";142678;26.1;65587;46086;43.2;"0=215;5=203;10=178;20=112;30=164;60=61;90=133";3.1;"1=7935;2=2990;4=1308;6=575;8=317;10=184;12=658";84;0;7811;0;431;4506;6035;18867;0;18867;0
