project,model,parameter,value
zxing_zxing_measures,LinearRegression,,
zxing_zxing_measures,LassoRegression,alpha,100
zxing_zxing_measures,RidgeRegression,alpha,1000
zxing_zxing_measures,SGDRegression,max_iter,1000
zxing_zxing_measures,SGDRegression,tol,1.00E-03
zxing_zxing_measures,SVR_linear,kernel,linear
zxing_zxing_measures,SVR_linear,C,100
zxing_zxing_measures,SVR_rbf,kernel,rfb
zxing_zxing_measures,SVR_rbf,gamma,0.0001
zxing_zxing_measures,SVR_rbf,C,1000000
zxing_zxing_measures,RandomForestRegressor,n_estimators,5
zxing_zxing_measures,RandomForestRegressor,max_depth,10
zxing_zxing_measures,RandomForestRegressor,random_state,0
square_retrofit_measures,LinearRegression,,
square_retrofit_measures,LassoRegression,alpha,100
square_retrofit_measures,RidgeRegression,alpha,1000
square_retrofit_measures,SGDRegression,max_iter,1000
square_retrofit_measures,SGDRegression,tol,1.00E-03
square_retrofit_measures,SVR_linear,kernel,linear
square_retrofit_measures,SVR_linear,C,100
square_retrofit_measures,SVR_rbf,kernel,rfb
square_retrofit_measures,SVR_rbf,gamma,0.01
square_retrofit_measures,SVR_rbf,C,1000000
square_retrofit_measures,RandomForestRegressor,n_estimators,5
square_retrofit_measures,RandomForestRegressor,max_depth,5
square_retrofit_measures,RandomForestRegressor,random_state,0
square_okhttp_measures,LinearRegression,,
square_okhttp_measures,LassoRegression,alpha,100
square_okhttp_measures,RidgeRegression,alpha,10000
square_okhttp_measures,SGDRegression,max_iter,1000
square_okhttp_measures,SGDRegression,tol,1.00E-03
square_okhttp_measures,SVR_linear,kernel,linear
square_okhttp_measures,SVR_linear,C,1000000
square_okhttp_measures,SVR_rbf,kernel,rbf
square_okhttp_measures,SVR_rbf,gamma,0.01
square_okhttp_measures,SVR_rbf,C,10000000
square_okhttp_measures,RandomForestRegressor,n_estimators,10
square_okhttp_measures,RandomForestRegressor,max_depth,20
square_okhttp_measures,RandomForestRegressor,random_state,0
spring-projects_spring-boot_measures,LinearRegression,,
spring-projects_spring-boot_measures,LassoRegression,alpha,10
spring-projects_spring-boot_measures,RidgeRegression,alpha,10000
spring-projects_spring-boot_measures,SGDRegression,max_iter,1000
spring-projects_spring-boot_measures,SGDRegression,tol,1.00E-03
spring-projects_spring-boot_measures,SVR_linear,kernel,linear
spring-projects_spring-boot_measures,SVR_linear,C,1000
spring-projects_spring-boot_measures,SVR_rbf,kernel,rbf
spring-projects_spring-boot_measures,SVR_rbf,gamma,0.01
spring-projects_spring-boot_measures,SVR_rbf,C,10000000
spring-projects_spring-boot_measures,RandomForestRegressor,n_estimators,100
spring-projects_spring-boot_measures,RandomForestRegressor,max_depth,5
spring-projects_spring-boot_measures,RandomForestRegressor,random_state,0
igniterealtime_openfire_measures,LinearRegression,,
igniterealtime_openfire_measures,LassoRegression,alpha,1000
igniterealtime_openfire_measures,RidgeRegression,alpha,10000
igniterealtime_openfire_measures,SGDRegression,max_iter,1000
igniterealtime_openfire_measures,SGDRegression,tol,1.00E-03
igniterealtime_openfire_measures,SVR_linear,kernel,linear
igniterealtime_openfire_measures,SVR_linear,C,100000
igniterealtime_openfire_measures,SVR_rbf,kernel,rbf
igniterealtime_openfire_measures,SVR_rbf,gamma,0.01
igniterealtime_openfire_measures,SVR_rbf,C,1000000
igniterealtime_openfire_measures,RandomForestRegressor,n_estimators,10
igniterealtime_openfire_measures,RandomForestRegressor,max_depth,2
igniterealtime_openfire_measures,RandomForestRegressor,random_state,0
jenkinsci_jenkins_measures,LinearRegression,,
jenkinsci_jenkins_measures,LassoRegression,alpha,1000
jenkinsci_jenkins_measures,RidgeRegression,alpha,10000
jenkinsci_jenkins_measures,SGDRegression,max_iter,1000
jenkinsci_jenkins_measures,SGDRegression,tol,1.00E-03
jenkinsci_jenkins_measures,SVR_linear,kernel,linear
jenkinsci_jenkins_measures,SVR_linear,C,100000
jenkinsci_jenkins_measures,SVR_rbf,kernel,rbf
jenkinsci_jenkins_measures,SVR_rbf,gamma,0.01
jenkinsci_jenkins_measures,SVR_rbf,C,1000000
jenkinsci_jenkins_measures,RandomForestRegressor,n_estimators,10
jenkinsci_jenkins_measures,RandomForestRegressor,max_depth,5
jenkinsci_jenkins_measures,RandomForestRegressor,random_state,0
java_websocket_measures,LinearRegression,,
java_websocket_measures,LassoRegression,alpha,100
java_websocket_measures,RidgeRegression,alpha,10000
java_websocket_measures,SGDRegression,max_iter,1000
java_websocket_measures,SGDRegression,tol,1.00E-03
java_websocket_measures,SVR_linear,kernel,linear
java_websocket_measures,SVR_linear,C,100
java_websocket_measures,SVR_rbf,kernel,rbf
java_websocket_measures,SVR_rbf,gamma,0.0001
java_websocket_measures,SVR_rbf,C,1000000
java_websocket_measures,RandomForestRegressor,n_estimators,100
java_websocket_measures,RandomForestRegressor,max_depth,2
java_websocket_measures,RandomForestRegressor,random_state,0
google_guava_measures,LinearRegression,,
google_guava_measures,LassoRegression,alpha,10000
google_guava_measures,RidgeRegression,alpha,1000000
google_guava_measures,SGDRegression,max_iter,1000
google_guava_measures,SGDRegression,tol,1.00E-03
google_guava_measures,SVR_linear,kernel,linear
google_guava_measures,SVR_linear,C,100000
google_guava_measures,SVR_rbf,kernel,rbf
google_guava_measures,SVR_rbf,gamma,0.001
google_guava_measures,SVR_rbf,C,10000000
google_guava_measures,RandomForestRegressor,n_estimators,100
google_guava_measures,RandomForestRegressor,max_depth,10
google_guava_measures,RandomForestRegressor,random_state,0
apache_systemml_measures,LinearRegression,,
apache_systemml_measures,LassoRegression,alpha,10000
apache_systemml_measures,RidgeRegression,alpha,1000000
apache_systemml_measures,SGDRegression,max_iter,1000
apache_systemml_measures,SGDRegression,tol,1.00E-03
apache_systemml_measures,SVR_linear,kernel,linear
apache_systemml_measures,SVR_linear,C,10000
apache_systemml_measures,SVR_rbf,kernel,rbf
apache_systemml_measures,SVR_rbf,gamma,0.001
apache_systemml_measures,SVR_rbf,C,10000000
apache_systemml_measures,RandomForestRegressor,n_estimators,5
apache_systemml_measures,RandomForestRegressor,max_depth,10
apache_systemml_measures,RandomForestRegressor,random_state,0
apache_ofbiz_measures,LinearRegression,,
apache_ofbiz_measures,LassoRegression,alpha,100000
apache_ofbiz_measures,RidgeRegression,alpha,100000
apache_ofbiz_measures,SGDRegression,max_iter,1000
apache_ofbiz_measures,SGDRegression,tol,1.00E-03
apache_ofbiz_measures,SVR_linear,kernel,linear
apache_ofbiz_measures,SVR_linear,C,10000
apache_ofbiz_measures,SVR_rbf,kernel,rbf
apache_ofbiz_measures,SVR_rbf,gamma,0.001
apache_ofbiz_measures,SVR_rbf,C,1000000
apache_ofbiz_measures,RandomForestRegressor,n_estimators,10
apache_ofbiz_measures,RandomForestRegressor,max_depth,10
apache_ofbiz_measures,RandomForestRegressor,random_state,0
apache_nifi_measures,LinearRegression,,
apache_nifi_measures,LassoRegression,alpha,100000
apache_nifi_measures,RidgeRegression,alpha,10000
apache_nifi_measures,SGDRegression,max_iter,1000
apache_nifi_measures,SGDRegression,tol,1.00E-03
apache_nifi_measures,SVR_linear,kernel,linear
apache_nifi_measures,SVR_linear,C,10000
apache_nifi_measures,SVR_rbf,kernel,rbf
apache_nifi_measures,SVR_rbf,gamma,0.001
apache_nifi_measures,SVR_rbf,C,10000000
apache_nifi_measures,RandomForestRegressor,n_estimators,100
apache_nifi_measures,RandomForestRegressor,max_depth,20
apache_nifi_measures,RandomForestRegressor,random_state,0
apache_kafka_measures,LinearRegression,,
apache_kafka_measures,LassoRegression,alpha,100000
apache_kafka_measures,RidgeRegression,alpha,1000000
apache_kafka_measures,SGDRegression,max_iter,1000
apache_kafka_measures,SGDRegression,tol,1.00E-03
apache_kafka_measures,SVR_linear,kernel,linear
apache_kafka_measures,SVR_linear,C,10000
apache_kafka_measures,SVR_rbf,kernel,rbf
apache_kafka_measures,SVR_rbf,gamma,0.01
apache_kafka_measures,SVR_rbf,C,10000
apache_kafka_measures,RandomForestRegressor,n_estimators,100
apache_kafka_measures,RandomForestRegressor,random_state,0
apache_incubator_dubbo_measures,LinearRegression,,
apache_incubator_dubbo_measures,LassoRegression,alpha,100000
apache_incubator_dubbo_measures,RidgeRegression,alpha,1000000
apache_incubator_dubbo_measures,SGDRegression,max_iter,1000
apache_incubator_dubbo_measures,SGDRegression,tol,1.00E-03
apache_incubator_dubbo_measures,SVR_linear,kernel,linear
apache_incubator_dubbo_measures,SVR_linear,C,100
apache_incubator_dubbo_measures,SVR_rbf,kernel,rbf
apache_incubator_dubbo_measures,SVR_rbf,gamma,0.001
apache_incubator_dubbo_measures,SVR_rbf,C,100000
apache_incubator_dubbo_measures,RandomForestRegressor,n_estimators,5
apache_incubator_dubbo_measures,RandomForestRegressor,max_depth,20
apache_incubator_dubbo_measures,RandomForestRegressor,random_state,0
apache_groovy_measures,LinearRegression,,
apache_groovy_measures,LassoRegression,alpha,10000
apache_groovy_measures,RidgeRegression,alpha,100000
apache_groovy_measures,SGDRegression,max_iter,1000
apache_groovy_measures,SGDRegression,tol,1.00E-03
apache_groovy_measures,SVR_linear,kernel,linear
apache_groovy_measures,SVR_linear,C,10000
apache_groovy_measures,SVR_rbf,kernel,rbf
apache_groovy_measures,SVR_rbf,gamma,0.001
apache_groovy_measures,SVR_rbf,C,10000000
apache_groovy_measures,RandomForestRegressor,n_estimators,100
apache_groovy_measures,RandomForestRegressor,max_depth,20
apache_groovy_measures,RandomForestRegressor,random_state,0
commonsio_measures,LinearRegression,,
commonsio_measures,LassoRegression,alpha,100
commonsio_measures,RidgeRegression,alpha,10000
commonsio_measures,SGDRegression,max_iter,1000
commonsio_measures,SGDRegression,tol,1.00E-03
commonsio_measures,SVR_linear,kernel,linear
commonsio_measures,SVR_linear,C,1000
commonsio_measures,SVR_rbf,kernel,rbf
commonsio_measures,SVR_rbf,gamma,0.0001
commonsio_measures,SVR_rbf,C,1000000
commonsio_measures,RandomForestRegressor,n_estimators,100
commonsio_measures,RandomForestRegressor,max_depth,5
commonsio_measures,RandomForestRegressor,random_state,0